包含以下主要诊断：
A00.000x001 古典生物型霍乱
T18.100 食管内异物
T18.200 胃内异物
T18.300 小肠内异物
T18.300x003 空肠内异物
T18.301 十二指肠异物
T18.400 结肠内异物
T18.500x004 直肠乙状结肠连接部异物
T18.501 肛门内异物
T18.502 直肠内异物
T18.801 多发性消化道异物
T18.900 消化道内异物
T80.200x001 腹膜透析相关性腹膜炎
T98.300x001 闸门综合征~~#N/A~~#N/A~~#N/A
