包含以下主要诊断：
A06.700 皮肤阿米巴病
T79.700 创伤性皮下气肿
T81.800x009 操作后假性囊肿
T85.400 乳房假体和植入物的机械性并发症
T85.401 乳房假体障碍
Z41.000 头发移植
Z41.100x002 乳房整形
Z41.100x003 眼皮整形
Z41.100x004 颧骨突出整形
Z41.100x005 颞部凹陷整形
Z41.100x006 低眉弓整形
Z41.100x007 眉凹陷整形
Z41.100x008 眉弓突出整形
Z41.100x009 低额整形
Z41.100x010 颊部凹陷整形
Z41.100x011 臀部扁平整形
Z41.100x012 腿部凹陷整形
Z41.100x013 发际过高整形
Z41.100x014 额部窄整形
Z41.100x015 髋过宽整形
Z41.100x016 眶整形
Z41.100x017 上唇整形
Z41.100x018 下颌整形
Z41.100x019 臀部整形
Z41.100x020 耳垂整形
Z41.100x021 颏部整形
Z41.100x022 腹壁整形
Z41.100x023 鼻整形
Z41.100x024 吸脂
Z41.104 面部皱纹整容
Z41.105 隆胸
Z42.100x001 乳房术后整形
Z42.200x001 腹部术后整形
Z42.200x002 胸部术后整形
Z42.200x003 背部术后整形
Z42.201 胸部瘢痕修复
Z42.202 腹部瘢痕修复
Z42.203 背部瘢痕修复
Z42.204 臀部瘢痕修复
Z42.205 会阴瘢痕修复
Z42.300x001 上肢术后整形
Z42.301 上肢瘢痕修复
Z42.302 上肢残端修整
Z42.303 臂部瘢痕修复
Z42.304 手部瘢痕修复
Z42.400x001 下肢术后整形
Z42.401 下肢瘢痕修复
Z42.402 足部瘢痕修复
Z42.403 下肢残端修整
Z42.800x001 截肢残端修整
Z42.800x002 肛门术后整形
Z42.801 人工阴道成形术后整形
Z52.100 供皮者
