包含以下主要诊断：
A02.200x005+M90.2* 沙门菌性骨髓炎
M72.202 跖筋膜炎
M72.401 肩区结节性筋膜炎
M72.402 上臂结节性筋膜炎
M72.403 前臂结节性筋膜炎
M72.404 手结节性筋膜炎
M72.405 骨盆区结节性筋膜炎
M72.406 大腿结节性筋膜炎
M72.407 小腿结节性筋膜炎
M72.408 踝结节性筋膜炎
M72.409 足结节性筋膜炎
M72.410 结节性筋膜炎
M72.600 坏死性筋膜炎
M72.601 肩区坏死性筋膜炎
M72.602 上臂坏死性筋膜炎
M72.603 前臂坏死性筋膜炎
M72.604 手坏死性筋膜炎
M72.605 骨盆区坏死性筋膜炎
M72.606 大腿坏死性筋膜炎
M72.607 小腿坏死性筋膜炎
M72.608 踝坏死性筋膜炎
M72.609 足坏死性筋膜炎
M72.800x091 硬化性筋膜炎
M72.800x092 缺血性筋膜炎
M72.801 肩关节筋膜脓肿
M72.802 肘关节筋膜脓肿
M72.803 腕关节筋膜脓肿
M72.804 指纤维组织瘤样增生
M72.805 筋膜脓肿
M72.806 陈旧性筋膜炎
M72.900x051 臀部纤维瘤病
M72.900x052 臀肌筋膜炎
M72.900x071 趾筋膜炎
M72.900x073 掌跖纤维瘤病
M72.900x081 腰背部筋膜炎
M72.900x082 躯干纤维瘤病
M72.900x083 椎管内纤维瘤病
M72.900x084 颈部纤维瘤病
M72.900x093 下肢纤维瘤病
M72.901 多部位筋膜炎
M72.903 肩区筋膜炎
M72.904 肩区纤维瘤病
M72.905 上臂筋膜炎
M72.906 上臂纤维瘤病
M72.907 前臂筋膜炎
M72.908 前臂纤维瘤病
M72.909 手筋膜炎
M72.910 手纤维瘤病
M72.911 骨盆区筋膜炎
M72.912 骨盆区纤维瘤病
M72.913 大腿筋膜炎
M72.914 大腿纤维瘤病
M72.915 小腿筋膜炎
M72.916 小腿纤维瘤病
M72.917 踝筋膜炎
M72.918 踝纤维瘤病
M72.919 足筋膜炎
M72.920 足纤维瘤病
M72.921 纤维瘤病
M72.922 筋膜炎
M75.000 粘连性肩关节囊炎
M75.000x001 冻结肩
M75.001 肩周炎
M75.002 迪普莱关节周炎
M75.003 肱肩胛关节周炎
M75.004 肩黏性肌腱炎
M75.100 旋转袖综合征
M75.101 非创伤性冈上肌撕裂
M75.102 冈上肌综合征
M75.103 肩袖自发性破裂
M75.200 二头肌腱炎
M75.201 肱二头肌长头肌腱炎
M75.300 肩钙化性肌腱炎
M75.301 肩钙化性黏液囊
M75.302 冈上肌肌腱钙化
M75.400 肩撞击综合征
M75.500 肩滑囊炎
M75.501 肩峰下滑囊炎
M75.502 肩胛肱骨滑囊炎
M75.503 三角肌下滑囊炎
M75.504 喙突下滑囊炎
M75.802 肩胛肱骨肌纤维变性
M75.803 肩胛肱骨肌纤维鞘炎
M75.804 肩腱鞘炎
M75.900 肩损害
M76.000 臀肌腱炎
M76.100 髂肌腱炎
M76.200 髂嵴骨刺
M76.300 髂胫带综合征
M76.301 涉及髂胫带弹响髋
M76.302 涉及髂胫带弹响膝
M76.400 胫侧滑囊炎[佩莱格里尼-施蒂达]
M76.400x001 胫骨侧粘液囊炎
M76.500 髌肌腱炎
M76.600 跟腱炎
M76.602 跟腱滑囊炎
M76.603 跟腱痛
M76.700 腓肌腱炎
M76.701 腓肠肌内外侧头肌腱炎
M76.800x072 踝关节撞击综合征
M76.801 髋部肌腱端病
M76.802 腓骨肌腱撞击综合征
M76.803 膝肌腱端病
M76.804 胫前综合征
M76.805 胫后综合征
M76.806 胫后肌腱炎
M76.807 踝滑囊炎
M76.900 下肢肌腱端病
M77.000 内上髁炎
M77.001 肱骨内上髁炎
M77.100 外上髁炎
M77.101 肱骨外上髁炎
M77.200 腕关节周围炎
M77.300 跟骨骨刺
M77.400 跖痛症
M77.500 足的其他肌腱端病
M77.501 踝肌腱端病
M77.502 跟骨滑囊炎
M77.503 脚趾滑囊炎
M77.800x001 胫后肌腱失能
M77.800x002 腓骨肌腱滑脱
M77.801 肘肌腱端病
M77.804 腕肌腱端病
M77.900 肌腱端病
M77.901 关节周围炎
M77.902 肌腱炎
M77.903 骨刺
M77.905 肌腱周围炎
M77.906 关节囊炎
M79.000 风湿病
M79.000x092 关节风湿病
M79.000x093 风湿性肌痛
M79.000x095 成纤维细胞性风湿病
M79.002 软组织风湿
M79.100 肌痛
M79.101 肩区肌痛
M79.102 上臂肌痛
M79.103 前臂肌痛
M79.104 手肌痛
M79.105 骨盆区肌痛
M79.106 大腿肌痛
M79.107 小腿肌痛
M79.108 踝肌痛
M79.109 足肌痛
M79.201 多部位神经痛
M79.203 下肢神经痛
M79.206 神经肌肉痛
M79.209 神经病理性疼痛
M79.300 脂膜炎
M79.300x051 臀部脂膜炎
M79.301 组织细胞吞噬性脂膜炎
M79.302 结节性非化脓性脂膜炎
M79.303 嗜酸性脂膜炎
M79.500 软组织内残留异物
M79.500x061 小腿软组织异物残留
M79.500x082 躯干软组织异物残留
M79.501 肩区软组织异物残留
M79.502 上臂软组织异物残留
M79.503 前臂软组织异物残留
M79.504 手软组织异物残留
M79.505 骨盆区软组织异物残留
M79.506 大腿软组织异物残留
M79.507 膝关节软组织异物残留
M79.508 踝软组织异物残留
M79.509 足软组织异物残留
M79.510 头颈部软组织异物残留
M79.511 胸壁异物
M79.600 肢痛
M79.600x002 跟痛症
M79.600x011 肩痛
M79.600x021 上臂疼痛
M79.600x051 下肢疼痛
M79.601 手痛
M79.602 跗骨痛
M79.603 脚趾痛
M79.604 足痛
M79.700 纤维肌痛
M79.701 肩部纤维肌炎
M79.702 腰纤维肌炎
M79.703 风湿性肌纤维组织炎
M79.704 纤维织炎
M79.705 肌纤维鞘炎
M79.800x001 肢体肿胀
M79.800x081 椎旁脓肿
M79.800x082 面部软组织下垂
M79.800x083 面部软组织增生性病变
M79.800x091 脂肪疝
M79.800x096 纤维结缔组织炎
M79.808 脂肪坏死
M79.810 结缔组织炎
M79.812 脂肪萎缩
M79.900x001 肢体肿物
M79.901 肩区软组织疾患
M79.902 上臂软组织疾患
M79.903 前臂软组织疾患
M79.904 手软组织疾患
M79.905 骨盆区软组织疾患
M79.906 大腿软组织疾患
M79.907 小腿软组织疾患
M79.908 踝软组织疾患
M79.909 足软组织疾患
M80.000 绝经后骨质疏松伴有病理性骨折
M80.100 卵巢切除术后骨质疏松伴有病理性骨折
M80.200 失用性骨质疏松伴有病理性骨折
M80.300 手术后吸收不良性骨质疏松伴有病理性~~骨折
M80.400 药物性骨质疏松伴有病理性骨折
M80.500 特发性骨质疏松伴有病理性骨折
M80.800 骨质疏松伴有病理性骨折，其他的
M80.801 老年性骨质疏松伴病理性骨折
M80.900 骨质疏松伴有病理性骨折
M81.000 绝经后骨质疏松
M81.100 卵巢切除术后骨质疏松
M81.200 失用性骨质疏松
M81.300 手术后吸收不良性骨质疏松
M81.400 药物性骨质疏松
M81.500 特发性骨质疏松
M81.600 局限性骨质疏松[勒凯纳]
M81.800x091 老年性骨质疏松
M81.801 肝性骨营养不良
M81.900 骨质疏松
M81.900x101 脊椎松解
M81.903 骨脱矿质
M81.904 骨脱钙
M83.000 产褥期骨软化症
M83.100 老年性骨软化症
M83.200 吸收不良引起的成人骨软化症
M83.200x092 成人手术后吸收障碍性骨软化症
M83.300 营养不良引起的成人骨软化症
M83.400 铝骨病
M83.500 成人其他药物性骨软化症
M83.801 麦角甾醇缺乏(维生素 D2)伴成人骨软化
M83.802 全身骨内多发性吸收
M83.900 成人骨软化症
M83.900x091 骨软化症
M84.000 骨折连接不正
M84.000x021 肱骨骨折连接不正
M84.000x031 尺骨骨折连接不正
M84.000x032 桡骨骨折连接不正
M84.000x041 指骨骨折连接不正
M84.000x042 腕舟骨骨折连接不正
M84.000x043 掌骨骨折连接不正
M84.000x051 股骨骨折连接不正
M84.000x052 骨盆骨折连接不正
M84.000x061 胫骨骨折连接不正
M84.000x062 髌骨骨折连接不正
M84.000x063 腓骨骨折连接不正
M84.000x071 跟骨骨折连接不正
M84.000x072 踝关节骨折连接不正
M84.000x073 足舟骨连接不正
M84.000x074 足骨骨折连接不正
M84.000x081 下颌骨骨折连接不正
M84.000x082 面骨骨折连接不正
M84.100 骨折不连接[假关节]
M84.100x011 锁骨骨折不连接
M84.100x012 肩胛骨骨折不连接
M84.100x021 肱骨骨折不连接
M84.100x031 尺骨骨折不连接
M84.100x032 桡骨骨折不连接
M84.100x041 指骨骨折不连接
M84.100x042 掌骨骨折不连接
M84.100x043 舟骨骨折不连接
M84.100x044 腕骨骨折不连接
M84.100x051 股骨骨折不连接
M84.100x052 髋臼骨折不连接
M84.100x061 腓骨骨折不连接
M84.100x062 胫骨骨折不连接
M84.100x063 髌骨骨折不连接
M84.100x071 跖骨骨折不连接
M84.100x072 跟骨骨折不连接
M84.100x073 踝关节骨折不连接
M84.100x074 距骨骨折不连接
M84.100x075 趾骨骨折不连接
M84.100x081 腰椎骨折不连接
M84.200 骨折延迟愈合
M84.300x091 应力性骨折
M84.301 疲劳性骨折
M84.401 自发性骨折
M84.801 颅骨分离
M84.900 骨的连续性疾患
M85.000x001 额骨纤维性结构不良
M85.000x002 枕骨纤维性结构不良
M85.000x004 肩胛骨纤维结构不良
M85.000x007 尺骨纤维结构不良
M85.000x008 掌指骨纤维性结构不良
M85.000x011 锁骨纤维异常增殖症
M85.000x031 桡骨纤维异常增殖症
M85.000x051 股骨纤维结构不良
M85.000x052 髋骨纤维异常增殖症
M85.000x053 骨盆骨纤维结构不良
M85.000x054 坐骨纤维异常增殖症
M85.000x061 胫骨纤维结构不良
M85.000x062 腓骨纤维结构不良
M85.000x071 跟骨纤维结构不良
M85.000x082 肋骨纤维异常增殖症
M85.000x084 椎骨纤维异常增殖症
M85.001 骨纤维异样增殖症
M85.002 贾菲利希滕斯坦(-尤林格)综合征
M85.003 肱骨纤维结构不良
M85.100 氟骨症
M85.200 颅骨肥大
M85.201 额骨内面骨肥厚
M85.202 狮面骨
M85.300 致密性骨炎
M85.400 单一性骨囊肿
M85.500 动脉瘤性骨囊肿
M85.600x021 肱骨骨囊肿
M85.600x031 桡骨骨囊肿
M85.600x032 尺骨骨囊肿
M85.600x041 腕骨骨囊肿
M85.600x042 指骨骨囊肿
M85.600x043 掌骨骨囊肿
M85.600x051 股骨骨囊肿
M85.600x052 坐骨结节囊肿
M85.600x053 髂骨骨囊肿
M85.600x061 腓骨骨囊肿
M85.600x062 胫骨骨囊肿
M85.600x071 距骨骨囊肿
M85.600x072 跟骨骨囊肿
M85.600x081 颞骨囊肿
M85.600x092 单纯性骨囊肿
M85.600x093 孤立性骨囊肿
M85.602 躯干骨囊肿
M85.603 骨囊肿
M85.801 肢骨纹状肥大
M85.802 骨密度增加
M85.803 骨实质丧失
M85.900 骨密度和结构的疾患
M86.000 急性血源性骨髓炎
M86.100 急性骨髓炎，其他的
M86.200 亚急性骨髓炎
M86.300 慢性多病灶性骨髓炎
M86.400 慢性骨髓炎伴有引流窦道
M86.500 慢性血源性骨髓炎，其他的
M86.600x061 小腿慢性化脓性骨髓炎
M86.601 肘关节慢性化脓性骨髓炎
M86.602 手慢性化脓性骨髓炎
M86.603 骨盆区慢性化脓性骨髓炎
M86.604 大腿慢性化脓性骨髓炎
M86.605 膝关节慢性化脓性骨髓炎
M86.606 踝慢性化脓性骨髓炎
M86.607 足慢性化脓性骨髓炎
M86.608 慢性骨髓炎
M86.609 慢性化脓性骨髓炎
M86.610 骨内死骨形成
M86.800x071 跖骨籽骨形成
M86.800x095 布罗迪脓肿
M86.801 股骨肉芽肿
M86.803 骨干炎
M86.804 水肿性波特瘤
M86.805 骨残留异物性肉芽肿
M86.807 骨膜骨赘形成伴骨髓炎
M86.808 骨脓肿
M86.809 骨肉芽肿
M86.810 加雷骨髓炎
M86.811 硬化性骨髓炎
M86.812 籽骨炎
M86.900 骨髓炎
M86.900x001 多发性骨髓炎
M86.900x071 跗骨骨髓炎
M86.900x073 跖骨骨髓炎
M86.901 锁骨骨髓炎
M86.902 肩胛骨骨髓炎
M86.903 肱骨骨髓炎
M86.904 桡骨骨髓炎
M86.905 尺骨骨髓炎
M86.906 腕骨骨髓炎
M86.907 手指骨髓炎
M86.908 掌骨骨髓炎
M86.909 骨盆骨髓炎
M86.910 股骨骨髓炎
M86.911 膝关节骨髓炎
M86.912 腓骨骨髓炎
M86.913 胫骨骨髓炎
M86.914 足部骨髓炎
M86.915 趾骨骨髓炎
M86.916 跟骨骨髓炎
M86.917 颅骨骨髓炎
M86.918 肋骨骨髓炎
M86.919 躯干骨骨髓炎
M86.920 胸骨骨髓炎
M86.921 骨炎
M86.923 骨膜炎
M87.000 特发性无菌性骨坏死
M87.001 肱骨头无菌性坏死
M87.002 股骨头无菌性坏死
M87.100 药物性骨坏死
M87.101 药物性肱骨头坏死
M87.102 药物性股骨头坏死
M87.200 以前创伤引起的骨坏死
M87.200x021 创伤后肱骨坏死
M87.200x042 创伤后腕骨坏死
M87.200x072 创伤后距骨坏死
M87.200x073 创伤后足舟骨坏死
M87.201 外伤后腕舟骨骨质疏松及萎缩
M87.202 创伤后指骨坏死
M87.203 创伤后股骨头坏死
M87.204 创伤后趾骨坏死
M87.300 继发性骨坏死，其他的
M87.800x021 肱骨头缺血性坏死
M87.800x041 月骨缺血性坏死
M87.800x051 股骨头缺血性坏死
M87.800x091 骨缺血性坏死
M87.800x101 足舟骨坏死
M87.900 骨坏死
M87.900x021 肱骨骨坏死
M87.900x061 胫骨骨坏死
M87.900x071 距骨骨坏死
M87.901 股骨骨坏死
M88.000 颅骨佩吉特病
M88.800 骨的佩吉特病，其他的
M88.900 指骨的佩吉特病
M89.002 创伤后骨质疏松
M89.100 骨骺生长停止
M89.101 骺横线
M89.200x071 足舟骨过度生长
M89.201 软骨内骨生长迟缓
M89.202 多发性偏心性多中心骨化
M89.300 骨肥大
M89.301 跖骨肥大
M89.302 跗骨肥大
M89.303 面骨骨质增生
M89.304 剑突骨质增生
M89.305 颧骨肥大
M89.306 骨过度生长
M89.307 骨膜肥厚
M89.308 骨皮质肥厚
M89.309 骨质增生
M89.310 腕背隆突综合征
M89.401 肥大性肺性骨关节病
M89.402 厚皮性骨膜病
M89.403 普罗蒂斯综合征
M89.404 继发性肥大性骨关节病
M89.500 骨质溶解
M89.500x091 大块溶骨病
M89.600 脊髓灰质炎后骨病
M89.800x501 股骨非骨化性纤维瘤
M89.800x601 膝关节籽骨炎
M89.800x906 蜡油样骨病
M89.800x908 骨瘢痕
M89.802 肩胛擦响症
M89.803 肩胛痛
M89.804 肱骨破坏
M89.808 股骨头变平
M89.810 胫骨非骨化性纤维瘤
M89.813 足副舟骨痛
M89.816 肋骨滑脱
M89.817 非骨化性纤维瘤
M89.818 骨质破坏
M89.819 婴儿型骨皮质肥厚
M89.820 骨外露
M89.821 创伤后骨膜下骨化
M89.823 骨痛
M89.824 骨膜下出血
M89.825 骨膜骨赘形成
M89.900x063 膝股骨内侧骨疣
M89.900x072 趾骨肿物
M89.900x091 外生骨疣
M89.900x101 桡骨病变
M89.900x102 骶骨病变
M89.900x103 髂骨病变
M89.900x104 距骨病变
M89.901 锁骨肿物
M89.902 肩胛骨肿物
M89.903 肱骨肿物
M89.904 腕骨病变
M89.905 指骨病变
M89.906 股骨病变
M89.907 骨盆区骨肿物
M89.908 大腿骨肿物
M89.909 膝关节骨肿物
M89.910 腓骨肿物
M89.911 胫骨肿物
M89.912 跖骨肿物
M89.913 踝骨肿物
M89.914 足骨肿物
M89.915 胸骨病变
M89.916 头颈部骨肿物
M89.917 椎骨病变
M89.918 肋骨肿物
M89.919 骨肿物
M89.920 骨病变
M89.921 肩胛骨骨疣
M89.922 肱骨骨疣
M89.923 尺骨骨疣
M89.924 桡骨骨疣
M89.925 股骨骨疣
M89.926 胫骨骨疣
M89.927 趾骨骨疣
M89.928 额骨骨疣
M89.929 脊柱骨疣
M91.000 幼年型骨盆骨软骨病
M91.000x051 耻骨联合幼年型骨软骨病
M91.001 坐骨软骨结合
M91.002 耻骨软骨结合
M91.003 髂嵴软骨病
M91.004 髋臼骨软骨病
M91.100 幼年型股骨头骨软骨病[莱格-卡尔韦-佩~~尔特斯]
M91.101 幼年型股骨骺骨软骨病
M91.102 幼年型髋关节骨软骨病
M91.200 扁平髋
M91.201 幼年骨软骨病性髋关节畸形
M91.300 假性髋关节痛
M91.800 幼年型髋关节和骨盆骨软骨病，其他的
M91.800x051 先天性髋关节脱位复位后幼年型骨~~软骨病
M91.900 幼年型髋关节和骨盆骨软骨病
M92.000x001 幼年型肱骨头骨软骨病
M92.001 幼年型肱骨小头骨软骨病
M92.101 尺骨下段幼年型骨软骨病
M92.102 桡骨头骨软骨病
M92.200 幼年型手部骨软骨病
M92.201 幼年型腕骨骨软骨病
M92.202 幼年型掌骨骨软骨病
M92.300 上肢其他的幼年型骨软骨病
M92.301 幼年型臂软骨病
M92.302 幼年型锁骨骨软骨病
M92.303 幼年型胸骨骨软骨病
M92.400 幼年型髌骨骨软骨病
M92.401 髌骨克勒病
M92.402 辛丁-拉森软骨病
M92.501 胫骨粗隆骨软骨病
M92.502 胫骨内翻骨软骨病
M92.503 胫骨幼年型骨软骨病
M92.504 腓骨幼年型骨软骨病
M92.600 幼年型跗骨骨软骨病
M92.600x002 距骨幼年型骨软骨病
M92.601 幼年型跟骨骨软骨病
M92.602 幼年型跗舟骨骨软骨病
M92.604 幼年型外胫骨软骨病
M92.605 幼年型内侧楔骨软骨病
M92.606 幼年型舟骨软骨病
M92.700x003 跖骨幼年型骨软骨病
M92.701 幼年型第二跖骨骨软骨病
M92.702 幼年型第五跖骨骨软骨病
M92.703 跖骨头不全骨折
M92.801 幼年型下肢骨软骨炎
M92.802 幼年型足骨软骨病
M92.803 跟骨骺炎
M92.804 跟骨骨突炎
M92.900 幼年型骨软骨病
M92.901 幼年型骨骺炎
M92.902 幼年型骨软骨炎
M92.903 幼年型骨突炎
M93.000 股骨上端(非创伤性)骨骺滑脱
M93.100 成人金伯克病
M93.200x001 踝距骨剥脱性骨软骨炎
M93.200x002 肱骨小头剥脱性骨软骨炎
M93.200x003 分离性骨软骨炎[剥脱性骨软骨炎]
M93.201 肩关节分离性骨软骨病
M93.202 膝关节分离性骨软骨病
M93.800x001 桡骨小头骨骺炎
M93.800x002 膝关节骨软骨炎
M93.800x003 耻骨骨软骨炎
M93.901 骨骺炎
M93.902 骨软骨炎
M93.903 骺脱离
M93.904 骨骺滑脱
M93.905 骨突炎
M94.000 肋骨与肋软骨连接处综合征[蒂策]
M94.001 肋骨软骨炎
M94.100 复发性多软骨炎
M94.200 软骨软化
M94.300 软骨溶解
M94.300x051 特发性髋关节软骨溶解症
M94.801 化脓性软骨炎
M94.802 老年性软骨骨化
M94.803 慢性萎缩性多软骨炎
M94.804 软骨肥大
M94.805 软骨脓肿
M94.806 软骨实质丧失
M94.807 软骨萎缩
M94.808 软骨炎
M94.900 软骨疾患
M95.301 颈部畸形
M95.401 后天性胸廓畸形
M95.402 制鞋工胸
M95.403 后天性漏斗胸
M95.404 桶状胸
M95.405 胸壁畸形
M95.406 胸壁凹陷
M95.407 胸骨凹陷
M95.408 后天性胸骨回缩
M95.409 后天性鸡胸
M95.410 后天性肋骨畸形
M95.501 扁骨盆
M95.502 后天性骨盆畸形
M95.503 后天性骨盆倾斜
M95.504 后天性骨盆狭窄
M95.505 后天性漏斗骨盆
M95.506 内格勒骨盆
M95.507 尖骨盆
M95.508 婴儿型骨盆
M95.509 后天性髂骨畸形
M95.510 后天性坐骨畸形
M95.801 后天性躯干畸形
M95.802 后天性腹壁畸形
M95.901 后天性骨畸形
M96.001 关节固定术后假关节形成
M96.100 椎板切除术后综合征，不可归类在他处者
M96.200 放射后脊柱后凸
M96.300 椎板切除术后脊柱后凸
M96.400 手术后脊柱前凸
M96.500 放射后脊柱侧弯
M96.600x001 假体周围骨折
M96.600x002 股骨假体周围骨折
M96.601 插入矫形外科关节假体后骨折
M96.602 插入矫形外科骨板后骨折
M96.801 继发于关节假体取出后关节不稳定
M96.802 手术后腰椎间盘粘连
M96.803 腰椎间盘切除术后状态关节紊乱
M96.900 肌肉骨骼疾患，操作后的
M99.000 节段性和躯体性功能障碍
M99.100x001 枕颈椎骨不全脱位
M99.100x002 颈胸椎骨不全脱位
M99.100x003 胸腰椎骨不全脱位
M99.100x004 腰骶椎骨不全脱位
M99.100x005 骶尾椎骨不全脱位
M99.100x006 骶髂椎骨不全脱位
M99.200x001 枕颈椎管不全脱位性狭窄
M99.200x002 颈胸椎管不全脱位性狭窄
M99.200x003 胸腰椎管不全脱位性狭窄
M99.200x004 腰骶椎管不全脱位性狭窄
M99.200x005 骶尾椎管不全脱位性狭窄
M99.200x006 骶髂椎管不全脱位性狭窄
M99.300x001 枕颈椎管骨性狭窄
M99.300x002 颈胸椎管骨性狭窄
M99.300x003 胸腰椎管骨性狭窄
M99.300x004 腰骶椎管骨性狭窄
M99.300x005 骶尾椎管骨性狭窄
M99.300x006 骶髂椎管骨性狭窄
M99.400x001 枕颈椎管结缔组织性狭窄
M99.400x002 颈胸椎管结缔组织性狭窄
M99.400x003 胸腰椎管结缔组织性狭窄
M99.400x004 腰骶椎管结缔组织性狭窄
M99.400x005 骶尾椎管结缔组织性狭窄
M99.400x006 骶髂椎管结缔组织性狭窄
M99.500x001 枕颈椎管椎间盘狭窄
M99.500x002 颈胸椎管椎间盘狭窄
M99.500x003 胸腰椎管椎间盘狭窄
M99.500x004 腰骶椎管椎间盘狭窄
M99.500x005 骶尾椎管椎间盘狭窄
M99.500x006 骶髂椎管椎间盘狭窄
M99.600 椎间孔骨性和不全脱位性狭窄
M99.700x002 椎间孔椎间盘狭窄
M99.900 生物力学损害
N25.002+M90.8* 肾性骨病
N25.003+M90.8* 肾性骨软化
Q65.000 先天性髋脱位，单侧
Q65.100 先天性髋脱位，双侧
Q65.200 先天性髋脱位
Q65.300 先天性髋半脱位，单侧
Q65.400 先天性髋半脱位，双侧
Q65.500 先天性髋半脱位
Q65.600 不稳定髋
Q65.600x011 先天性单侧髋关节不稳定
Q65.600x021 先天性双侧髋关节不稳定
Q65.800x004 先天性髋关节外展挛缩
Q65.801 先天性髋关节发育不良
Q65.802 先天性髋臼发育不良
Q65.803 先天性髋内翻
Q65.804 先天性髋外翻
Q65.900 髋先天性变形
Q66.000 马蹄内翻足
Q66.100 仰趾内翻足
Q66.100x002 先天性仰趾外翻足
Q66.200 内翻跖
Q66.300 足的其他先天性内翻变形
Q66.400 仰趾外翻足
Q66.500 先天性平足
Q66.600 足的其他先天性外翻变形
Q66.601 先天性马蹄外翻足
Q66.700 高弓足
Q66.701 先天性第四跖骨短畸形
Q66.702 先天性弓形足
Q66.800x006 先天性垂直距骨
Q66.800x007 先天性足副舟骨
Q66.800x008 先天性跟距骨桥
Q66.800x009 先天性跗骨畸形
Q66.800x010 先天性趾畸形
Q66.800x011 先天性跖骨短缩畸形
Q66.800x012 先天性跖骨内收
Q66.800x013 先天性跖骨短缩
Q66.800x014 先天性跗骨联合
Q66.800x015 小趾内翻
Q66.800x016 第 5 跖骨外翻
Q66.801 先天性足畸形
Q66.802 先天性锤状趾
Q66.803 先天性马蹄足
Q66.804 先天性外翻
Q66.805 先天性仰趾足
Q66.900 足先天性变形
Q67.000 面不对称
Q67.100 面受压[扁脸]
Q67.100x001 先天性面中部凹陷
Q67.402 先天性颅骨凹陷
Q67.404 先天性半面萎缩
Q67.500 脊柱先天性变形
Q67.501 先天性脊柱侧凸
Q67.502 先天性脊柱后凸侧弯
Q67.503 先天性姿势性脊柱侧凸
Q67.600 漏斗胸
Q67.700 鸡胸
Q67.800x001 先天性胸廓畸形
Q67.801 剑突畸形
Q67.802 先天性胸壁变形
Q68.001 先天性胸锁乳突肌性斜颈
Q68.002 先天性斜颈
Q68.100 手先天性变形
Q68.100x002 先天性杵状指
Q68.100x009 先天性拇指发育不良
Q68.100x010 先天性拇指内收畸形
Q68.101 先天性铲状手
Q68.102 先天性指畸形
Q68.103 先天性爪形手
Q68.104 先天性分裂手
Q68.200 膝先天性变形
Q68.201 先天性膝关节脱位
Q68.300 先天性股骨弯曲
Q68.300x001 先天性弓形股骨
Q68.300x002 先天性股骨短缩畸形
Q68.401 先天性腓骨弯曲
Q68.402 先天性胫骨弯曲
Q68.500 先天性腿长骨弯曲
Q68.501 先天性弓形腿
Q68.800x006 先天性桡骨小头半脱位
Q68.800x014 先天性前臂畸形
Q68.800x015 先天性桡骨畸形
Q68.800x016 先天性尺骨畸形
Q68.800x018 先天性胫骨假关节
Q68.800x019 先天性腓骨假关节
Q68.800x020 先天性胫腓骨假关节
Q68.800x021 先天性腕关节半脱位
Q68.800x022 先天性尺桡关节脱位
Q68.800x023 先天性肘关节挛缩
Q68.800x024 先天性多发性关节挛缩症
Q68.800x025 先天性下肢关节挛缩
Q68.801 先天性关节畸形
Q68.802 先天性肩关节脱位
Q68.803 先天性高肩胛症
Q68.804 先天性肩胛骨变形
Q68.805 先天性锁骨变形
Q68.807 先天性上肢畸形
Q68.808 先天性肘关节发育不良
Q68.809 先天性肘关节畸形
Q68.810 先天性肘关节脱位
Q68.811 先天性肘外翻
Q68.812 先天性下肢畸形
Q68.813 先天性踝关节畸形
Q69.000 副指
Q69.100 副拇指
Q69.200 副趾
Q69.200x001 副(足母)趾
Q69.900x001 多指
Q69.900x002 多趾
Q70.000 指融合
Q70.001 先天性并指伴骨连接
Q70.100 蹼状指
Q70.200 趾融合
Q70.201 先天性并趾伴骨连接
Q70.300 蹼状趾
Q70.400x001 并指和多指
Q70.400x002 并趾和多趾
Q70.900x001 并指
Q70.900x002 并趾
Q70.901 指关节粘连
Q71.000 上肢先天性完全缺如
Q71.100 上臂和前臂先天性缺如伴有手的存在
Q71.200x001 先天性前臂缺如
Q71.200x002 先天性手缺如
Q71.300x021 先天性拇指缺如
Q71.300x031 先天性指缺如
Q71.301 先天性掌骨缺如
Q71.400 桡骨纵向短小缺陷
Q71.401 先天性桡骨缺如
Q71.500 尺骨纵向短小缺陷
Q71.501 先天性尺骨缺如
Q71.600 虾爪状手
Q71.801 先天性短上肢
Q71.802 先天性桡尺骨缺如
Q71.900 上肢短小缺陷
Q72.000 下肢先天性完全缺如
Q72.000x001 先天性单侧下肢完全缺如
Q72.100 大腿和小腿先天性缺如伴有足的存在
Q72.200 小腿和足先天性缺如
Q72.300x301 先天性趾缺如
Q72.300x302 先天性单足缺如
Q72.400 股骨纵向短小缺陷
Q72.400x001 先天性股骨头缺如
Q72.400x002 先天性股骨近端局灶性缺损
Q72.401 先天性股骨缺如
Q72.500 胫骨纵向短小缺陷
Q72.501 先天性胫骨缺如
Q72.600 腓骨纵向短小缺陷
Q72.601 先天性腓骨缺如
Q72.700 足裂
Q72.800 下肢的其他短小缺陷
Q72.800x002 先天性股骨发育不良
Q72.800x003 股骨滑车发育不良
Q72.900 下肢短小缺陷
Q73.000 四肢先天性缺如
Q73.100 四肢短肢[海豹肢畸形]
Q73.800 四肢其他短小缺陷
Q74.000x902 先天性肘内翻
Q74.000x906 先天性上肢骨发育异常
Q74.000x907 先天性扳机指
Q74.001 马德隆畸形
Q74.002 锁骨颅骨发育不良
Q74.003 肩胛骨发育异常
Q74.004 先天性锁骨假关节
Q74.005 先天性尺桡关节融合
Q74.007 副腕骨
Q74.008 细长指
Q74.009 先天性巨指
Q74.010 先天性狭窄性腱鞘炎
Q74.100x004 先天性膝关节发育不良
Q74.100x006 先天性二分髌骨
Q74.101 先天性膝内翻
Q74.102 先天性膝外翻
Q74.103 先天性发育不全髌骨
Q74.104 先天性高位髌骨
Q74.105 先天性髌骨缺如
Q74.106 先天性髌骨脱位
Q74.200x001 先天性股骨颈纤维结构不良
Q74.200x003 先天性骶骨假关节
Q74.200x004 先天性胫骨纤维结构不良
