包含以下主要诊断：
A01.002+G01* 伤寒性脑膜炎
G36.800 急性播散性脱髓鞘，其他特指的
G36.900 急性播散性脱髓鞘
G36.901 急性脱髓鞘性脊髓病
G37.000 弥漫性硬化
G37.000x002 轴周性脑炎
G37.100 胼胝体中枢性脱髓鞘
G37.100x002 原发性胼胝体变性
G37.200 中枢性脑桥髓鞘破坏
G37.200x001 脑桥中央髓鞘溶解症
G37.200x002 脑桥外髓鞘溶解症
G37.300 中枢神经系统脱髓鞘病的急性横贯性脊髓~~炎
G37.301 急性横贯性脊髓炎
G37.400 亚急性坏死性脊髓炎
G37.500 同心性硬化［鲍洛］
G37.800 中枢神经系统其他特指的脱髓鞘疾病
G37.800x006 脱髓鞘假瘤
G37.801 炎性脱髓鞘性假瘤综合征
G37.802 脱髓鞘性白质脑病
G37.803 脱髓鞘性脑病
G37.804 脱髓鞘性脊髓病
G37.805 临床孤立综合征
G37.900 中枢神经系统脱髓鞘病
G37.901 脱髓鞘病
G40.000 局部相关性(局灶性)(部分)特发性癫痫和~~伴有局限性发作的癫痫综合征
G40.001 儿童良性癫痫伴中央颞区棘波
G40.002 常染色体显性遗传夜间额叶癫痫
G40.003 偏侧抽搐偏瘫综合征
G40.004 早发性良性儿童枕叶癫痫
G40.005 迟发性儿童枕叶癫痫
G40.100 局部相关性(局灶性)(部分)症状性癫痫和~~伴有简单部分发作的癫痫综合征
G40.100x001 癫痫部分性发作
G40.100x002 癫 痫 单 纯 部 分 性 运 动 性 发 作 伴~~Jackson 发作
G40.100x003 癫痫单纯部分性感觉性发作
G40.100x004 癫痫单纯部分性运动性发作
G40.100x005 癫痫单纯部分性感觉性发作伴视觉症~~状
G40.100x006 癫痫单纯部分性发作继发全面发作
G40.100x007 额叶癫痫
G40.100x008 顶叶癫痫
G40.100x009 局灶性癫痫半侧阵挛性发作
G40.100x010 癫痫单纯部分性发作
G40.100x011 单纯部分性癫痫自主神经性发作
G40.100x012 简单部分性癫痫伴听觉症状
G40.101 家族性局灶性癫痫
G40.102 新皮质癫痫
G40.103 症状性局灶性癫痫
G40.200 局部相关性(局灶性)(部分)症状性癫痫和~~伴有复杂部分发作的癫痫综合征
G40.200x001 癫痫单纯部分性发作伴精神症状性发~~作
G40.200x002 颞叶性癫痫
G40.200x003 枕叶性癫痫
G40.200x004 癫痫复杂部分性发作继发全面发作
G40.200x005 下丘脑(痴笑性)癫痫
G40.200x006 癫痫复杂部分性发作
G40.200x010 家族性颞叶癫痫
G40.200x011 癫痫复杂部分性发作伴意识障碍和自~~动症
G40.200x013 癫痫复杂部分性发作伴意识障碍和运~~动症状
G40.201 边缘叶癫痫
G40.202 伴海马硬化颞叶内侧癫痫
G40.203 颞叶内侧癫痫
G40.204 边缘性癫痫持续状态
G40.300 全身性特发性癫痫和癫痫综合征
G40.300x001 发作性肌阵挛
G40.300x002 混合型癫痫
G40.300x003 癫痫全面性发作肌阵挛发作
G40.300x004 翁韦里希特-伦德伯格病[波罗的海肌~~阵挛][青少年肌阵挛癫痫]
G40.300x006 癫痫全面性发作强直性发作
G40.300x007 仅全面性强直-阵挛发作的癫痫
G40.300x008 全身性非惊厥性癫痫
G40.300x009 全身性惊厥性疾病
G40.300x010 癫痫全面性发作阵挛性发作
G40.300x012 新生儿睡眠肌阵挛
G40.300x013 儿童良性癫痫
G40.300x014 婴儿重度肌阵挛癫痫[Dravet 综合征]
G40.300x017 新生儿癫痫
G40.300x018 新生儿癫痫综合征
G40.300x019 全面性癫痫伴热性惊厥附加症
G40.300x020 癫痫全面性发作失张力发作
G40.300x023 癫痫全面性发作强直阵挛性发作
G40.300x025 良性家族性新生儿癫痫
G40.301 青少年肌阵挛癫痫
G40.302 良性婴儿肌阵挛性癫痫
G40.303 特发性全面性癫痫
G40.304 儿童失神癫痫
G40.305 良性家族性新生儿惊厥
G40.306 青少年失神癫痫
G40.307 肌阵挛失神癫痫
G40.308 全面惊厥性癫痫持续状态
G40.309 良性新生儿惊厥
G40.310 进行性肌阵挛性癫痫
G40.311 良性非家族性婴儿惊厥
G40.400 全身性癫痫和癫痫综合征,其他的
G40.400x001 婴儿痉挛症[West 综合征]
G40.400x002 伦 诺 克 斯 - 加 斯 托 综 合 征~~[Lennox-Gastaut 综合征]
G40.400x003 早发性肌阵挛性脑病
G40.400x005 早期婴儿癫痫性脑病伴暴发抑制
G40.400x008 肌阵挛癫痫伴破碎肌红纤维
G40.401 儿童期弥漫性慢棘-慢波(小发作变异型)~~癫痫性脑病
G40.402 婴儿早期肌阵挛性脑病
G40.403 肌阵挛站立不能发作性癫痫
G40.404 婴儿严重肌阵挛性癫痫
G40.405 韦斯特综合征
G40.406 大田原综合征
G40.500 特指的癫痫综合征
G40.500x001 慢 性 进 行 性 部 分 癫 痫 持 续 状 态~~[Rasmussen 综合征]
G40.500x003 间脑性癫痫[自主神经性癫痫]
G40.500x008 睡眠癫痫
G40.500x009 惊吓性癫痫
G40.502 特发性光敏性枕叶癫痫
G40.503 拉斯穆森综合征
G40.504 儿童期慢性进行性部分连续性癫痫
G40.505 药源性癫痫发作
G40.600 癫痫大发作(伴有或不伴有小发作)
G40.601 癫痫大发作伴小发作
G40.700 癫痫小发作，不伴有大发作
G40.700x001 癫痫小发作[典型失神发作]
G40.700x002 癫痫小发作[非典型失神发作]
G40.800x003 简单部分性癫痫伴躯体感觉症状
G40.800x004 症状性癫痫[继发性癫痫]
G40.800x008 呕吐型癫痫
G40.800x010 反射性癫痫光敏性发作
G40.800x013 觉醒时伴有全面强直阵挛性发作的癫~~痫
G40.801 反射性癫痫
G40.802 视觉敏感性癫痫
G40.803 原发性阅读性癫痫
G40.804 婴儿游走性部分性发作
G40.805 难治性癫痫
G40.900 癫痫
G40.900x005 癫痫性脑病
G40.903+F02.8* 癫痫性痴呆
G41.000 癫痫大发作持续状态
G41.000x002 癫痫全面性强直-阵挛发作持续状态
G41.000x003 癫痫阵挛发作持续状态
G41.000x004 癫痫强直性发作持续状态
G41.000x005 癫痫肌阵孪发作持续状态
G41.001 全面性强直阵挛性癫痫持续状态
G41.100 癫痫小发作持续状态
G41.101 失神性癫痫持续状态
G41.200 复杂部分性癫痫持续状态
G41.200x002 癫痫偏侧抽搐状态伴偏侧轻瘫
G41.200x003 边缘叶性癫痫持续状态
G41.200x004 癫痫单纯部分性发作持续状态
G41.801 慢波睡眠中持续棘慢复合波癫痫
G41.802 全面性癫痫持续状态
G41.806 局灶性癫痫持续状态
G41.807 局灶性癫痫持续性先兆
G41.900 癫痫持续状态
G43.000 偏头痛不伴有先兆［普通偏头痛］
G43.100 偏头痛伴有先兆［典型偏头痛］
G43.100x002 偏头痛性先兆[偏头痛等位症]
G43.100x005 有迁延性先兆的偏头痛
G43.100x006 有先兆急性发作的偏头痛
G43.100x011 典型先兆不伴头痛
G43.102 基底动脉型偏头痛
G43.103 典型先兆伴非偏头痛性头痛
G43.105 家族性偏瘫性偏头痛
G43.106 散发性偏瘫性偏头痛
G43.200 偏头痛状态
G43.300 复杂性偏头痛
G43.800x002 眼肌麻痹型偏头痛
G43.801 持续性先兆不伴脑梗死
G43.802 腹型偏头痛
G43.803 视网膜性偏头痛
G43.804 儿童周期性综合征
G43.900 偏头痛
G44.000 丛集性头痛综合征
G44.000x002 发作性丛集性头痛
G44.000x004 慢性阵发性偏头痛
G44.001 慢性偏头痛
G44.002 复发性丛集性头痛
G44.003 慢性丛集性头痛
G44.004 神经性头痛
G44.005 神经血管性头痛
G44.100 血管性头痛，不可归类在他处者
G44.100x004 颈源性头痛[颈神经后支源性头痛]
G44.200 紧张型头痛
G44.200x003 发作性紧张型头痛
G44.200x005 慢性紧张型头痛不伴颅骨膜压痛
G44.201 少发复发性紧张型头痛
G44.202 少发复发性紧张型头痛伴颅骨膜压痛
G44.204 频发复发性紧张型头痛
G44.205 频发复发性紧张型头痛伴颅骨膜压痛
G44.207 慢性紧张型头痛
G44.208 慢性紧张型头痛伴颅骨膜压痛
G44.300 慢性创伤后头痛
G44.400 药物性头痛，不可归类在他处者
G44.800 头痛综合征，其他特指的
G44.800x001 自发性低颅压综合征[原发性低颅压]
G44.800x002 急性外伤后头痛
G44.800x006 慢性每日头痛
G45.000 椎基底动脉综合征
G45.001 基底动脉尖综合征
G45.002 椎-基底动脉供血不足
G45.003 椎-基底动脉盗血综合征
G45.004 后循环缺血
G45.100 颈动脉综合征(大脑半球的)
G45.100x002 颈内动脉缺血
G45.101 颈内动脉供血不足
G45.102 颈动脉闭塞综合征
G45.200 多发性和双侧入脑前动脉综合征
G45.300 一过性黑矇
G45.400 短暂性完全性遗忘
G45.800 短暂性大脑缺血性发作和相关的综合征，~~其他的
G45.800x002 无名动脉盗血综合征
G45.800x003 锁骨下盗血综合征伴锁骨下动脉闭塞
G45.800x004 锁骨下盗血综合征伴锁骨下动脉狭窄
G45.801 锁骨下动脉盗血综合征
G45.802 脑血管供血不足伴短暂性局灶性神经症状
G45.900 短暂性大脑缺血性发作
G45.901 脑动脉痉挛
G47.200 睡眠-觉醒节律障碍
G47.200x002 延迟睡眠阶段综合征
G47.200x003 日节律性睡眠障碍
G47.400x002 发作性睡病
G47.400x003 昏睡
G47.401 猝倒发作
G50.000 三叉神经痛
G50.001 眶上神经痛
G50.002 筛前神经痛
G50.003 原发性三叉神经痛
G50.004 继发性三叉神经痛
G50.100 非典型性面部痛
G50.801 味觉性出汗综合征
G50.802 三叉神经麻痹
G50.803 三叉神经炎
G50.900 三叉神经疾患
G51.000 贝尔面瘫
G51.000x003 眼轮匝肌麻痹
G51.002 中枢性面神经麻痹
G51.003 周围性面神经麻痹
G51.100 膝状神经节炎
G51.200 梅尔克松综合征
G51.201 梅尔克松-罗森塔尔综合征
G51.300 阵挛性半面痉挛
G51.301 面肌痉挛
G51.400 面肌纤维抽搐
G51.800x003 颜面萎缩症
G51.800x006 鳄鱼泪综合征
G51.801 面肌萎缩
G51.802 半侧颜面萎缩症
G51.803 面神经炎
G51.900 面神经疾患
G52.000 嗅神经疾患
G52.100 舌咽神经疾患
G52.100x003 原发性舌咽神经痛
G52.100x004 继发性舌咽神经痛
G52.101 舌咽神经痛
G52.102 舌咽神经麻痹
G52.200 迷走神经疾患
G52.201 喉返神经麻痹
G52.202 喉返神经疾患
G52.203 迷走神经麻痹
G52.204 喉返神经炎
G52.205 迷走神经功能亢进
G52.300 舌下神经疾患
G52.301 舌下神经痛
G52.302 舌下神经麻痹
G52.700 多发脑神经疾患
G52.700x005 维拉雷综合征
G52.701 多发性脑神经麻痹
G52.702 多发性脑神经炎
G52.703 多发性脑神经损害
G52.704 颈静脉孔综合征
G52.705 眶尖综合征
G52.800x004 枕神经痛
G52.800x005 枕小神经痛
G52.800x006 枕大神经炎
G52.801 副神经疾患
G52.802 斜方肌麻痹
G52.900 脑神经疾患
G52.901 脑神经炎
G52.902 脑神经麻痹
G54.000 臂丛疾患
G54.000x001 臂丛神经损害
G54.000x004 颈肋综合征
G54.000x006 过度外展综合征
G54.001 肋锁综合征
G54.002 胸廓出口综合征
G54.003 臂丛神经麻痹
G54.004 前斜角肌综合征
G54.100 腰骶丛疾患
G54.100x001 腰骶丛损害
G54.100x002 臀上皮神经卡压综合征[臀上皮神经~~炎]
G54.200 颈神经根疾患，不可归类在他处者
G54.200x001 颈神经根损害
G54.201 颈神经根囊肿
G54.300 胸神经根疾患，不可归类在他处者
G54.300x001 胸神经根损害
G54.400 腰骶神经根疾患，不可归类在他处者
G54.400x001 腰骶神经根损害
G54.500 神经痛性肌萎缩
G54.600 幻肢综合征伴有疼痛
G54.700 幻肢综合征不伴有疼痛
G54.800x003 手术后神经根粘连
G54.800x004 脊神经嵌压综合征
G54.801 骶神经根囊肿
G54.900 神经根和神经丛疾患
G54.900x001 周围神经卡压综合征
G54.901 神经根压迫症
G56.000 腕管综合征
G56.100 正中神经的其他损害
G56.100x001 正中神经损害
G56.100x002 正中神经卡压综合征
G56.100x003 骨间背侧神经卡压综合征
G56.100x004 旋前圆肌综合征
G56.101 正中神经麻痹
G56.200 尺神经损害
G56.200x001 迟发性尺神经炎
G56.201 尺神经麻痹
G56.202 肘管综合征
G56.203 尺神经炎
G56.300 桡神经损害
G56.301 桡神经麻痹
G56.800x001 指间神经瘤
G56.900 上肢单神经病
G57.000 坐骨神经损害
G57.000x003 坐骨神经粘连
G57.001 梨状肌综合征
G57.100 感觉异样性股痛
G57.100x001 股外侧皮神经炎
G57.200 股神经损害
G57.200x003 髂腹股沟神经痛[髂腹股综合征]
G57.201 股神经麻痹
G57.300 外腘神经损害
G57.300x001 腓深神经麻痹
G57.300x005 腓总神经损害
G57.301 腓神经麻痹
G57.302 腓神经损害
G57.303 腓总神经麻痹
G57.304 腓浅神经卡压
G57.400 中腘神经损害
G57.400x001 腘内侧神经损害
G57.401 胫神经麻痹
G57.500 跗管综合征
G57.500x001 胫后神经卡压综合征
G57.600 跖神经损害
G57.600x002 足底神经损害
G57.600x003 莫顿跖痛症[Morton 病]
G57.601 跖趾神经炎
G57.603 足底内侧神经卡压征
G57.604 足底外侧神经卡压征
G57.800x001 趾间神经瘤
G57.800x002 手术后下肢神经粘连
G57.900 下肢单神经病
G57.901 下肢单神经炎
G58.000 肋间神经病
G58.001 肋间神经痛
G58.002 肋间神经炎
G58.700 多发性单神经炎
G58.800x001 膈神经麻痹
G58.800x004 手术后皮神经粘连
G58.800x006 肩胛上卡压综合征
G58.800x007 胸长神经麻痹
G58.800x008 耳大神经痛
G58.801 枕大神经痛
G58.900 单神经病
G58.900x002 神经功能障碍
G58.900x003 神经麻痹
G60.000 遗传性运动和感觉神经病
G60.000x002 遗传性共济失调伴肌萎缩[鲁西-莱维~~综合征]
G60.000x003 肥大性间质神经病[德热里纳-索塔~~病]
G60.000x005 婴儿肥大性神经病
G60.000x008 沙尔科-玛丽-图斯病
G60.001 脱髓鞘型腓骨肌萎缩
G60.002 轴索型腓骨肌萎缩
G60.003 腓骨肌萎缩
G60.100 植烷酸贮积症
G60.200 与遗传性共济失调有关的神经病
G60.300 特发性进行性神经病
G60.800x001 感觉性多发性神经病
G60.800x002 里吉综合征
G60.800x003 色素沉着,水肿,多发性神经病综合征
G60.800x004 遗传性感觉性神经病
G60.800x005 内拉东综合征[Nelaton 综合征]
G60.800x006 莫旺病[Morvan 病]
G60.800x007 巨轴索神经病
G60.800x010 遗传性感觉自主神经病
G60.801 先天性无痛无汗症
G60.802 感觉性周围神经病
G60.803 遗传性压力易感性周围神经病
G60.900 遗传性和特发性神经病
G60.900x001 遗传性周围神经病
G61.000 吉兰-巴雷［格林-巴利］综合征
G61.000x003 急性运动轴索性神经病
G61.000x004 急性炎性脱髓鞘性多发神经根神经病
G61.000x005 急性运动感觉轴索性神经病
G61.000x006 急性感觉神经病
G61.001 费舍综合征
G61.002 吉兰-巴雷综合征轴索型
G61.003 吉兰-巴雷综合征脱髓鞘型
G61.100 血清性神经病变
G61.800x003 获得性多灶性感觉运动神经病
G61.800x004 急性感觉运动神经病
G61.800x005 亚急性感觉神经病
G61.800x006 亚急性或慢性感觉运动神经病
G61.801 慢性炎症性脱髓鞘性多发性神经病
G61.900 炎性多神经病
G62.000 药物性多神经病
G62.001 药物性周围神经病
G62.100 酒精性多神经病
G62.100x002 慢性酒精中毒性神经病
G62.101 酒精中毒性周围神经病
G62.200 毒性物质引起的多神经病，其他的
G62.200x001 化学性多神经病
G62.200x003 中毒性多神经病
G62.201 有机磷中毒迟发性神经病
G62.800x005 感觉神经元病
G62.800x007 血管炎相关神经病
G62.800x008 轴索性周围神经病
G62.800x009 小纤维神经病
G62.803 放射性多神经病
G62.804 运动性周围神经病
G62.805 混合性周围神经病
G62.806 感染性周围神经病
G62.807 免疫相关性周围神经病
G62.808 缺血性周围神经病
G62.809 创伤性周围神经病
G62.810 后天获得性周围神经病
G62.900 多神经病
G62.900x002 末梢神经病[末梢神经炎]
G62.900x003 末稍神经退行性改变
G62.900x004 炎性和中毒性神经病
G62.900x011 痛性周围神经病
G62.901 周围神经病
G62.908 多灶性感觉运动神经病
G62.909 多灶性运动神经病
G64.x00 周围神经系统的其他疾患
G64.x00x001 肌颤搐多汗综合征
G70.000 重症肌无力
G70.000x002 重症肌无力危象
G70.000x004 胆碱能危象
G70.000x005 反拗性危象
G70.001 重症肌无力，肌萎缩型
G70.002 重症肌无力，眼肌型
G70.003 重症肌无力，轻度全身型
G70.004 重症肌无力，中度全身型
G70.005 重症肌无力，急性重症型
G70.006 重症肌无力，迟发重症型
G70.007 肌无力危象
G70.008 儿童型重症肌无力
G70.100 中毒性肌神经疾患
G70.200 先天性和发育性肌无力
G70.200x004 少年型重症肌无力
G70.200x005 儿童型重症肌无力,眼肌型
G70.201 先天性重症肌无力
G70.202 先天性肌无力综合征
G70.800x001 非癌性肌无力综合征
G70.900 肌神经疾患
G70.900x001 喉肌无力
G70.900x003 面肌肌无力
G70.901 肌无力综合征
G70.902 肌无力
G71.000 肌营养不良
G71.000x005 杜氏肌营养不良症[Duchenne 型肌营~~养不良症]
G71.000x006 Becker 型肌营养不良症[贝氏肌营养~~不良症]
G71.000x010 Emery-dreifuss 型肌营养不良症
G71.000x011 眼肌型肌营养不良症
G71.001 进行性肌营养不良
G71.002 眼咽型肌营养不良症
G71.003 假肥大型肌营养不良症
G71.004 远端型肌营养不良症
G71.005 迪谢纳型肌营养不良症
G71.006 面肩肱型肌营养不良症
G71.007 肢带型肌营养不良症
G71.100 肌强直性疾患
G71.101 神经性肌强直
G71.102 萎缩性肌强直
G71.103 营养不良性肌强直
G71.104 先天性肌强直
G71.105 先天性副肌强直
G71.106 非营养不良性肌强直综合征
G71.200 先天性肌病
G71.200x002 先天性肌营养不良
G71.200x003 多微小轴空病
G71.200x004 先天性肌纤维类型不均衡
G71.200x005 中央轴空病
G71.300 线粒体肌病，不可归类在他处者
G71.300x001 线粒体脑肌病伴高乳酸血症和卒中样~~发作
G71.300x003 线粒体肌病
G71.301 线粒体脑肌病
G71.800 肌肉的其他原发性疾患
G71.800x002 肌-眼-脑病
G71.801 肌萎缩
G71.900 肌肉的原发性疾患
G71.900x001 遗传性肌病
G72.000 药物性肌病
G72.100 酒精性肌病
G72.200 毒性物质引起的肌病，其他的
G72.200x001 中毒性肌病
G72.300 周期性瘫痪
G72.301 低钾型周期性麻痹
G72.302 高钾性周期性麻痹
G72.304 正常钾型周期性麻痹
G72.400 炎性肌病，不可归类在他处者
G72.401 包涵体肌炎
G72.402 遗传性包涵体肌病
G72.403 散发性包涵体肌炎
G72.404 症状性炎性肌病
G72.800x001 肌麻痹
G72.800x002 血管源性肌病
G72.800x003 缺血缺氧性肌病
G72.800x006 风湿免疫病合并肌病
G72.800x007 杆状体肌病
G72.800x008 还原体肌病
G72.800x009 肌管肌病
G72.800x010 肌球蛋白缺乏性肌病
G72.800x011 肌小管肌病
G72.800x012 远端性肌病
G72.800x013 指印体肌病
G72.900 肌病
G80.000 痉挛性四肢麻痹性脑瘫
G80.000x011 双侧痉挛型脑性瘫痪
G80.000x021 偏侧痉挛型脑性瘫痪
G80.100 痉挛性双侧脑瘫
G80.101 痉挛型脑性瘫痪
G80.200 痉挛性偏侧脑瘫
G80.200x001 婴儿性偏瘫
G80.300 运动障碍性脑瘫
G80.300x003 强直型脑性瘫痪
G80.301 双侧手足徐动症
G80.302 手足徐动型脑性瘫痪
G80.303 肌张力低下型脑性瘫痪
G80.305 发作性舞蹈-手足徐动症
G80.400 共济失调性脑瘫
G80.800 大脑性瘫痪［脑瘫］，其他的
G80.801 震颤型脑性瘫痪
G80.802 混合型脑性瘫痪
G80.900 大脑性瘫痪［脑瘫］
G81.000 松弛性偏瘫
G81.100 痉挛性偏瘫
G81.900 偏瘫
G81.900x002 轻偏瘫
G81.901 交替性偏瘫
G81.902 完全性偏瘫
G81.903 不完全性偏瘫
G82.000 松弛性截瘫
G82.000x011 急性驰缓性截瘫
G82.000x021 慢性驰缓性截瘫
G82.000x031 急性完全性驰缓性截瘫
G82.000x041 慢性完全性驰缓性截瘫
G82.000x051 急性不完全性驰缓性截瘫
G82.000x061 慢性不完全性驰缓性截瘫
G82.100 痉挛性截瘫
G82.100x021 慢性痉挛性截瘫
G82.100x031 急性完全性痉挛性截瘫
G82.100x041 慢性完全性痉挛性截瘫
G82.100x051 急性不完全性痉挛性截瘫
G82.100x061 慢性不完全性痉挛性截瘫
G82.101 急性痉挛性截瘫
G82.200 截瘫
G82.200x021 慢性截瘫
G82.200x031 急性完全性截瘫
G82.200x041 慢性完全性截瘫
G82.201 慢性不完全性截瘫
G82.202 急性截瘫
G82.203 急性不完全性截瘫
G82.204 高位截瘫
G82.300 松弛性四肢瘫痪
G82.300x021 慢性驰缓性四肢瘫
G82.300x031 急性完全性驰缓性四肢瘫
G82.300x041 慢性完全性驰缓性四肢瘫
G82.300x051 急性不完全性驰缓性四肢瘫
G82.300x061 慢性不完全性驰缓性四肢瘫
G82.301 急性弛缓性四肢瘫
G82.400 痉挛性四肢瘫痪
G82.400x011 急性痉挛性四肢瘫
G82.400x031 急性完全性痉挛性四肢瘫
G82.400x041 慢性完全性痉挛性四肢瘫
G82.400x051 急性不完全性痉挛性四肢瘫
G82.400x061 慢性不完全性痉挛性四肢瘫
G82.401 慢性痉挛性四肢瘫
G82.500 四肢瘫痪
G82.500x031 急性完全性四肢瘫
G82.500x041 慢性完全性四肢瘫
G82.501 急性四肢瘫
G82.502 慢性四肢瘫
G82.503 急性不完全性四肢瘫
G82.504 慢性不完全性四肢瘫
G83.000 双上肢瘫
G83.000x002 完全性双上肢瘫
G83.000x003 不完全性双上肢瘫
G83.100 下肢单瘫
G83.100x002 完全性下肢单瘫
G83.100x003 不完全性下肢单瘫
G83.200 上肢单瘫
G83.200x002 完全性上肢单瘫
G83.200x003 不完全性上肢单瘫
G83.300 单瘫
G83.300x002 完全性单瘫
G83.300x003 不完全性单瘫
G83.400 马尾综合征
G83.500 闭锁综合征
G83.600 上运动神经元性面瘫
G83.800x001 脊髓半切综合征[布朗-塞卡尔氏综合~~征]
G83.800x003 交叉性瘫痪
G83.801 布朗-塞卡尔综合征
G83.802 脊髓完全性瘫痪
G83.803 托德瘫痪
G83.900 麻痹［瘫痪］综合征
G83.900x001 痉挛性瘫痪[中枢性瘫痪]
G83.900x002 瘫痪
G83.900x003 完全性瘫痪
G83.900x004 不完全性瘫痪
G83.900x005 弛缓性瘫痪[周围性瘫痪]
G83.901 轻度瘫痪
G90.000 特发性周围自主神经病
G90.001 颈动脉窦性晕厥
G90.100 家族性自主神经功能异常［赖利-戴］
G90.200 霍纳综合征
G90.400 自主性高反射
G90.500 复杂性区域疼痛综合征 I 型
G90.501 反射性交感神经营养不良综合征
G90.600 复杂性区域疼痛综合征 II 型
G90.600 复杂性区域疼痛综合征 II 型
G90.700 其他和未明确类型的复杂区域性疼痛综合~~征
G90.800x001 交感神经炎
G90.800x002 直立不耐受
G90.800x003 直立性调节障碍
G90.800x004 β受体亢进综合征[β受体过敏综合~~征]
G90.800x004 β受体亢进综合征[β受体过敏综合~~征]
G90.800x005 胆碱能神经功能亢进
G90.801 交感神经链综合征
G90.900 自主神经系统疾患
G90.900x001 自主神经功能紊乱
G90.900x002 植物神经功能紊乱
G91.000 交通性脑积水
G91.000x002 颅内出血后脑积水
G91.000x003 感染性脑积水
G91.100 梗阻性脑积水
G91.100x002 中脑导水管梗阻
G91.100x003 孤立性第四脑室[第四脑室积水]
G91.200 正常压力脑积水
G91.300 创伤后脑积水
G91.301 创伤后硬脑膜下积液
G91.800x001 继发性脑积水
G91.800x003 脑外脑积水
G91.800x004 脑内脑积水
G91.800x006 蛛网膜下腔出血后脑积水
G91.801 耳源性脑积水
G91.802 硬脑膜下积液
G91.900 脑积水
G92.x00 中毒性脑病
G92.x00x002 急性中毒性脑病
G92.x00x003 慢性中毒性脑病
G92.x01 一氧化碳中毒性脑病
G92.x02 一氧化碳中毒迟发性脑病
G93.000 大脑囊肿
G93.000x002 脑囊肿
G93.000x006 小脑囊肿
G93.000x007 侧脑室囊肿
G93.000x009 脉络丛囊肿
G93.000x010 外侧裂蛛网膜囊肿
G93.000x011 颅骨板障内蛛网膜囊肿
G93.000x012 鞍上蛛网膜囊肿
G93.000x013 桥小脑角蛛网膜囊肿
G93.000x014 蛛网膜憩室
G93.000x015 颅内囊肿
G93.001 蛛网膜囊肿
G93.002 透明隔囊肿
G93.003 后天性脑穿通畸形
G93.004 第四脑室囊肿
G93.005 硬膜下囊肿
G93.100 缺氧性脑损害，不可归类在他处者
G93.100x002 脑缺氧症
G93.101 肺性脑病
G93.102 缺氧缺血性脑病
G93.200 良性颅内高压
G93.200x003 弥漫性颅内压增高
G93.200x004 局限性颅内压增高
G93.201 良性颅内压增高综合征
G93.300 病毒感染后疲劳综合征
G93.300x002 良性肌痛性脑脊髓炎
G93.301 肌痛性脑脊髓炎
G93.400 脑病
G93.400x001 白质灰质性脑病
G93.400x002 弥散性脑病
G93.400x004 枕叶脑白质病变
G93.400x005 脑病[器质性脑病]
G93.400x006 脑干病变
G93.400x007 可逆性后部白质脑病综合征
G93.400x008 自身免疫相关性脑病
G93.401 低颅压综合征
G93.402 脑白质病
G93.403 代谢性脑病
G93.404 器质性脑病
G93.405 可逆性后部白质脑病
G93.500 脑受压
G93.500x001 枕骨大孔疝[小脑扁桃体疝]
G93.500x002 脑干受压
G93.500x005 外侧型小脑幕裂孔疝[钩回疝]
G93.500x006 中央型小脑幕裂孔疝[中心疝/中线疝]
G93.500x007 小脑幕孔下降疝
G93.500x008 小脑幕孔上升疝
G93.500x009 大脑镰下疝[扣带回疝]
G93.500x010 蝶骨嵴疝
G93.501 脑疝
G93.503 小脑幕裂孔疝
G93.504 后天性脑膜膨出
G93.600 脑水肿
G93.600x002 脑干水肿
G93.600x003 血管源性脑水肿
G93.600x004 细胞性脑水肿[细胞毒性脑水肿]
G93.600x005 脑积水性脑水肿[间质性脑水肿]
G93.600x006 缺血性脑水肿
G93.600x007 渗透压性脑水肿
G93.600x008 粒细胞性脑水肿
G93.600x009 离子性脑水肿
G93.700 赖氏综合征
G93.800x007 胰性脑病
G93.800x009 脑室憩室
G93.800x010 颅内积气[气颅症]
G93.800x012 无动性缄默[睁眼昏迷]
G93.800x013 脑死亡
G93.801 室管膜病
G93.802 放射性脑病
G93.803 去脑强直
G93.804 大脑功能障碍
G93.805 脑钙化
G93.806 脑软化
G93.807 脑胶质细胞增生
G93.808 脑室扩张
G93.809 颅内静脉窦狭窄
G93.810 丘脑综合征
G93.811 视丘反应综合征
G93.812 中枢性呼吸衰竭
G93.814 颅内胆脂瘤
G93.815 去皮层状态
G93.900 脑疾患
G93.900x001 脑干功能衰竭
G93.901 间脑病变
G93.902 脑肿物
G93.903 鞍区肿物
G93.904 顶叶综合征
G95.000 脊髓空洞症和延髓空洞症
G95.001 延髓空洞症
G95.002+M49.4* 脊髓空洞性夏科关节病
G95.003 脊髓空洞症
G95.100 血管性脊髓病
G95.100x003 脊髓前动脉栓塞
G95.100x004 脊髓前动脉血栓形成
G95.100x007 缺血性脊髓病
G95.100x008 缺血性脊髓血管病
G95.100x013 缺氧缺血性脊髓病
G95.101 脊髓出血
G95.102 急性脊髓梗死
G95.103 脊髓缺血
G95.104 脊髓坏死
G95.105 脊髓动脉血栓形成
G95.106 脊髓水肿
G95.107 脊髓后动脉综合征
G95.108 脊髓栓塞
G95.109 脊髓前动脉闭塞综合征
G95.200 脊髓受压
G95.800 脊髓其他特指的疾病
G95.800x003 脊髓神经根囊肿
G95.800x004 脊髓内囊肿
G95.800x005 脊髓前角病变
G95.800x007 脊髓性膀胱
G95.800x010 椎管内囊肿
G95.800x011 硬脊膜外囊肿
G95.800x012 骶椎神经根袖囊肿
G95.800x014 非创伤性脊髓不全横贯性损害
